,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo-Brazzaville,Côte d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Réunion,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
0,428.0,72.0,75.0,19.0,73.0,92.0,121.0,8.0,63.0,37.0,7.0,17.0,103.0,1.0,34.0,7.0,4.0,338.0,14.0,13.0,227.0,92.0,19.0,119.0,12.0,20.0,52.0,57.0,38.0,157.0,17.0,7.0,199.0,131.0,19.0,49.0,313.0,49.0,10.0,76.0,35.0,48.0,305.0,53.0,88.0,156.0,31.0,82.0,133.0,54.0,44.0
1,403.0,81.0,80.0,16.0,82.0,95.0,125.0,10.0,74.0,44.0,10.0,32.0,107.0,2.0,21.0,7.0,5.0,395.0,14.0,14.0,218.0,96.0,20.0,126.0,11.0,26.0,58.0,68.0,43.0,186.0,19.0,4.0,203.0,140.0,23.0,71.0,311.0,42.0,6.0,84.0,39.0,52.0,331.0,74.0,98.0,164.0,35.0,81.0,136.0,55.0,45.0
2,19880.77377319336,40094.780349731445,20389.638153076172,48727.512145996094,26733.035400390625,21663.211547851562,28971.001586914062,16800.10206604004,14224.431640625,67816.09210205078,8918.10791015625,16824.839965820312,23139.40704345703,431331.224609375,130920.63772583008,13951.651672363281,78033.09257507324,34785.132080078125,19455.202758789062,18232.70330810547,19710.7421875,16858.578094482422,19313.39764404297,20530.794494628906,19947.693786621094,17414.920150756836,15735.924407958984,14951.377319335938,16777.7333984375,11893.61264038086,14440.5498046875,26062.371612548828,23257.623413085938,31224.61297607422,16158.162841796875,26957.669921875,47794.46502685547,22005.68084716797,47739.71305847168,23770.626083374023,13246.488098144531,18727.253982543945,17930.891052246094,31285.855102539062,47260.09359741211,16573.601623535156,36289.398986816406,32559.2947845459,21309.400390625,52955.20489501953,29509.240692138672
3,26550.218688964844,45180.939849853516,24400.032341003418,61391.56742095947,30689.093048095703,27549.740203857422,32755.35464477539,17383.24624633789,14653.702713012695,77108.96936035156,12276.142395019531,14571.971267700195,27446.068298339844,261159.04600524902,84870.55152893066,20062.17074584961,58830.862548828125,44010.26153564453,20017.986740112305,24276.699783325195,21813.060302734375,20073.0390625,25215.805267333984,28363.18830871582,23261.88427734375,22134.5655670166,16102.36962890625,22192.720184326172,31870.884002685547,13902.646545410156,23366.858276367188,68325.76960754395,26597.354858398438,38357.25003051758,21779.450775146484,24747.498046875,62563.803283691406,32884.06401062012,144869.74829101562,30857.70101928711,15997.72738647461,32585.434326171875,20330.770782470703,38382.74351501465,54186.3073425293,27145.009658813477,40469.64453125,32827.7116394043,30961.794998168945,63491.293029785156,28905.882537841797
4,0.6459053923242164,0.6447765605333542,0.8857446902624779,0.454059354134857,0.6233107779175884,0.4756261610351564,0.7241357561947257,0.32472868924282317,0.6113292756665569,0.47957642923110333,0.6249226622251622,0.9024497707775958,0.731114580182529,0.0,0.7201382390744975,0.5510019538681936,0.5787046172496877,0.5314698321498226,0.6576730607866703,0.6719158482817407,0.6906064873257425,0.6674885904153578,0.5805428873093483,0.8032027146122462,0.5758674710694995,0.7099347209139502,0.7603661907719568,0.7038120349111037,0.6681539746736436,0.6108782955039849,0.732538430697151,0.7095496145603752,0.7422482536246433,0.6164537767519871,0.5425352153252829,0.6593490561942121,0.7033706955846382,0.6780423302757399,0.4335951422219211,0.7216108360104942,0.6891147589184914,0.7246671692906175,0.7933040232366759,0.5167983789842183,0.7119835967750896,0.7019196609142475,0.49714004636256703,0.667473723180551,0.6373470493367848,0.6035522646230338,0.7322424936881398
5,0.6828554856999318,0.7834796231255143,0.7477682293012646,0.37256214947436495,0.7099871412107808,0.6049479448637549,0.7749729926800184,0.3705363067824494,0.6351955724688167,0.5229070441781594,0.6569156819867992,0.9126503255178213,0.7527781073162858,0.47933316807822113,0.5497165728950557,0.601439732742455,0.6728804139569666,0.5875220731276363,0.6759271495406265,0.7554034945340744,0.7700491057254857,0.7208034177411298,0.6620824352860157,0.8190722489122437,0.6029779634284425,0.7540948456124466,0.7855213088533382,0.7525133790080036,0.7938040806733635,0.7164657145184983,0.7541748253646416,0.5642333085104594,0.767668256174427,0.6467600179470128,0.6003884414668075,0.7081071432822605,0.7573481539610596,0.7800286296502779,0.2978914447104477,0.749961004227315,0.760918334658931,0.6872983241296406,0.810285953870759,0.556405298995936,0.7455401452277284,0.7631813567577277,0.5273373001346355,0.7108572229435075,0.6703176264281008,0.6514300065587337,0.7670285121668974
6,-1.0077207298635813,-0.6526026199488919,-0.7020831681139091,-0.6202027235118525,-0.8256887296639442,-1.0916529543936746,-0.7475573084867857,-1.1377103140311347,-1.0205556054838338,-0.661522595551424,-0.44163425088848357,-0.4176482285021506,-0.8751256198637818,,-0.4938419726462919,-0.5327069140553687,-0.43734769807808155,-0.9615909514238148,-0.6810916904940343,-0.6652879261104259,-0.8905044486821306,-0.924161062928965,-0.7923645906277119,-0.7220487907607783,-0.7302025459031725,-0.7426622427328545,-0.6853729457414532,-0.9552063308428147,-0.85555833933211,-1.1576880009061385,-0.6676153785251033,-0.4731107635595561,-0.7869330529154128,-0.8557001617497244,-0.8892617922644954,-0.697792103843718,-0.7157451424470835,-0.8284318052341778,-0.682405323033019,-0.6598231486799426,-0.7558727435045245,-0.7573895974711065,-0.813046463539664,-0.775759376005855,-0.6211905060316715,-0.9206184397226278,-0.742014962516451,-0.8438150310538244,-0.9987033253032724,-0.7178956799289022,-0.7516515174360944
7,0.009022167703949023,0.027164655788145715,0.01651308232427366,0.08831277927169089,0.0344331404046193,0.03898478780827704,0.014972533850366499,0.10964752931158624,0.043797433635911445,0.06445256876485302,0.0693358804929514,0.029616345552201776,0.020275952131394142,,0.03269131196366226,0.07848914885150712,0.05830489643679004,0.022330118281020352,0.05366319982726575,0.04781903303849856,0.014734008502443881,0.02169043518743898,0.043018966761558836,0.006803751911797741,0.10110204011910062,0.06235197706640845,0.012048551366107314,0.04164927749536915,0.03583960608911733,0.015927122880549618,0.04343463053590193,0.06268130396507489,0.009736300239490831,0.02560793194879842,0.05865052871386408,0.02466681415035913,0.01281735304379978,0.02262221660894436,0.10383178879868112,0.019795314722669568,0.017370543541014423,0.01361121861943099,0.005062448494539336,0.04585770570595824,0.026884990786837627,0.00886630115870655,0.05953579732313962,0.02466781372146011,0.02209641494688064,0.04149029931484246,0.03492652301545243
8,-0.9154381707191884,-0.6448680310427137,-0.736564662746669,-0.9707267568202914,-0.8120560056332115,-0.9106845142963953,-0.6883876427760336,-1.0471992616148427,-1.0107516853661755,-0.5545352666811763,-0.5296843432526047,-0.5341500018323951,-0.8504956472769633,-0.17964898271712385,-0.5639910916951404,-0.4449488585361428,-0.35140416792842544,-0.865144294667185,-0.6221788818923947,-0.6076527639546484,-0.8181063857298773,-0.8444955766965504,-0.6751825448988235,-0.6538601668808498,-0.6844613621842125,-0.7417328814806508,-0.6726088987592892,-0.9116442469143777,-0.7034486304532931,-0.9942876338676249,-0.6505803108769949,-0.43285681144875315,-0.7454362309175601,-0.7924828915765095,-0.7814534197065739,-0.6710310302305554,-0.6190849944196499,-0.6548319652479684,-0.7265313183002787,-0.6522203225202147,-0.7098658774383695,-0.7232820354763831,-0.7784001477723509,-0.7602120762046335,-0.5957862767445338,-0.8359601152443535,-0.6943664604021692,-0.806126121492755,-0.9095042402436657,-0.6996878012291149,-0.6822772417770837
9,0.01057045236607458,0.018305407443765548,0.018207966700126265,0.11464142990681016,0.028962027662617292,0.02415689532040982,0.012881863095560235,0.08034573437164827,0.036985258497378416,0.051896795565847205,0.05311176223522968,0.01831372965155745,0.01808480972387639,0.0,0.060441465977790605,0.07065823955276701,0.04247799976099698,0.017887224528347404,0.030744072682447218,0.060677031633863704,0.013634865207040088,0.017527496288093476,0.037934300644466436,0.008370600383722466,0.07380728027871243,0.06140606322228279,0.008993979372209799,0.03902076267561301,0.02775211849983429,0.012196160970054973,0.04960701794870999,0.1351583966124135,0.009866637547273537,0.022248551568501022,0.04348611950869185,0.016995605919984412,0.011448342951896817,0.021052379270706436,0.22547065743955136,0.0162683266408574,0.013036950397134931,0.020533804953602994,0.005418297800927348,0.03531850230135764,0.02262122626615021,0.010454611783037328,0.05273787508081737,0.022592529280625766,0.024178537494585924,0.03934982341327347,0.028595355364309058
